Zeitstempel;Messstelle1;Messstelle2;Messstelle3;Messstelle4
Mo., 02.Jan. 2012 13:15;0,26;0,46;0,39;0,27
Mo., 02.Jan. 2012 13:30;0,24;0,46;0,36;0,26
Mo., 02.Jan. 2012 13:45;0,28;0,46;0,39;0,28
Mo., 02.Jan. 2012 14:00;0,24;0,5;0,39;0,27
Mo., 02.Jan. 2012 14:15;0,24;0,48;0,36;0,26
Mo., 02.Jan. 2012 14:30;0,32;0,5;0,42;0,31
Mo., 02.Jan. 2012 14:45;0,24;0,53;0,39;0,28
Mo., 02.Jan. 2012 15:00;0,28;0,46;0,39;0,28
Mo., 02.Jan. 2012 15:15;0,24;0,46;0,37;0,26
Mo., 02.Jan. 2012 15:30;0,24;0,47;0,37;0,26
Mo., 02.Jan. 2012 15:45;0,26;0,5;0,39;0,28
Mo., 02.Jan. 2012 16:00;0,24;0,53;0,4;0,28
Mo., 02.Jan. 2012 16:15;0,24;0,47;0,37;0,26
Mo., 02.Jan. 2012 16:30;0,28;0,48;0,4;0,28
Mo., 02.Jan. 2012 16:45;0,26;0,46;0,39;0,27
Mo., 02.Jan. 2012 17:00;0,26;0,46;0,39;0,27
Mo., 02.Jan. 2012 17:15;0,24;0,5;0,39;0,27
Mo., 02.Jan. 2012 17:30;0,24;0,5;0,39;0,27
Mo., 02.Jan. 2012 17:45;0,29;0,47;0,39;0,29
Mo., 02.Jan. 2012 18:00;0,24;0,46;0,36;0,26
Mo., 02.Jan. 2012 18:15;0,26;0,46;0,39;0,27
Mo., 02.Jan. 2012 18:30;0,24;0,46;0,36;0,26
Mo., 02.Jan. 2012 18:45;0,24;0,47;0,37;0,26
Mo., 02.Jan. 2012 19:00;0,28;0,47;0,4;0,28
Mo., 02.Jan. 2012 19:15;0,2;0,51;0,36;0,25
Mo., 02.Jan. 2012 19:30;0,19;0,44;0,32;0,23
Mo., 02.Jan. 2012 19:45;0,22;0,44;0,34;0,24
Mo., 02.Jan. 2012 20:00;0,18;0,43;0,31;0,22
Mo., 02.Jan. 2012 20:15;0,17;0,44;0,31;0,22
Mo., 02.Jan. 2012 20:30;0,22;0,47;0,36;0,25
Mo., 02.Jan. 2012 20:45;0,2;0,54;0,37;0,26
Mo., 02.Jan. 2012 21:00;0,19;0,5;0,35;0,25
Mo., 02.Jan. 2012 21:15;0,17;0,44;0,32;0,22
Mo., 02.Jan. 2012 21:30;0,17;0,43;0,31;0,21
Mo., 02.Jan. 2012 21:45;0,19;0,44;0,33;0,23
Mo., 02.Jan. 2012 22:00;0,23;0,45;0,35;0,25
Mo., 02.Jan. 2012 22:15;0,19;0,47;0,34;0,24
Mo., 02.Jan. 2012 22:30;0,18;0,46;0,32;0,23
Mo., 02.Jan. 2012 22:45;0,17;0,47;0,33;0,23
Mo., 02.Jan. 2012 23:00;0,18;0,44;0,33;0,22
Mo., 02.Jan. 2012 23:15;0,19;0,43;0,32;0,22
Mo., 02.Jan. 2012 23:30;0,24;0,45;0,35;0,26
Mo., 02.Jan. 2012 23:45;0,17;0,46;0,32;0,22
Di., 03.Jan. 2012 00:00;0,18;0,46;0,34;0,23
Di., 03.Jan. 2012 00:15;0,17;0,46;0,32;0,22
Di., 03.Jan. 2012 00:30;0,2;0,43;0,33;0,23
Di., 03.Jan. 2012 00:45;0,24;0,44;0,36;0,25
Di., 03.Jan. 2012 01:00;0,2;0,43;0,32;0,23
Di., 03.Jan. 2012 01:15;0,19;0,46;0,33;0,23
Di., 03.Jan. 2012 01:30;0,17;0,46;0,33;0,22
Di., 03.Jan. 2012 01:45;0,24;0,51;0,39;0,27
Di., 03.Jan. 2012 02:00;0,23;0,44;0,34;0,25
Di., 03.Jan. 2012 02:15;0,18;0,44;0,32;0,22
Di., 03.Jan. 2012 02:30;0,18;0,47;0,33;0,23
Di., 03.Jan. 2012 02:45;0,19;0,44;0,32;0,23
Di., 03.Jan. 2012 03:00;0,18;0,47;0,34;0,23
Di., 03.Jan. 2012 03:15;0,24;0,46;0,37;0,26
Di., 03.Jan. 2012 03:30;0,18;0,52;0,36;0,25
Di., 03.Jan. 2012 03:45;0,18;0,44;0,31;0,22
Di., 03.Jan. 2012 04:00;0,18;0,43;0,31;0,22
Di., 03.Jan. 2012 04:15;0,18;0,44;0,31;0,22
Di., 03.Jan. 2012 04:30;0,2;0,46;0,34;0,24
Di., 03.Jan. 2012 04:45;0,21;0,46;0,34;0,24
Di., 03.Jan. 2012 05:00;0,18;0,46;0,33;0,23
Di., 03.Jan. 2012 05:15;0,2;0,44;0,33;0,23
Di., 03.Jan. 2012 05:30;0,17;0,43;0,31;0,21
Di., 03.Jan. 2012 05:45;0,21;0,44;0,33;0,24
Di., 03.Jan. 2012 06:00;0,21;0,5;0,35;0,26
Di., 03.Jan. 2012 06:15;0,28;0,46;0,39;0,28
Di., 03.Jan. 2012 06:30;0,25;0,46;0,36;0,26
Di., 03.Jan. 2012 06:45;0,24;0,48;0,37;0,26
