Zeitstempel;Messstelle1;Messstelle2;Messstelle3;Messstelle4
Di., 27.Nov. 2012 02:00;0,16;0,46;0,33;0,22
Di., 27.Nov. 2012 02:15;0,16;0,46;0,33;0,22
Di., 27.Nov. 2012 02:30;0,19;0,45;0,33;0,23
Di., 27.Nov. 2012 02:45;0,2;0,48;0,35;0,24
Di., 27.Nov. 2012 03:00;0,21;0,5;0,38;0,26
Di., 27.Nov. 2012 03:15;0,16;0,48;0,33;0,22
Di., 27.Nov. 2012 03:30;0,16;0,47;0,34;0,22
Di., 27.Nov. 2012 03:45;0,18;0,47;0,34;0,23
Di., 27.Nov. 2012 04:00;0,18;0,45;0,33;0,23
Di., 27.Nov. 2012 04:15;0,19;0,49;0,36;0,24
Di., 27.Nov. 2012 04:30;0,21;0,48;0,35;0,25
Di., 27.Nov. 2012 04:45;0,16;0,48;0,34;0,22
Di., 27.Nov. 2012 05:00;0,18;0,48;0,34;0,23
Di., 27.Nov. 2012 05:15;0,19;0,46;0,35;0,23
Di., 27.Nov. 2012 05:30;0,16;0,54;0,36;0,24
Di., 27.Nov. 2012 05:45;0,22;0,49;0,36;0,26
Di., 27.Nov. 2012 06:00;0,16;0,46;0,33;0,22
Di., 27.Nov. 2012 06:15;0,16;0,48;0,34;0,22
Di., 27.Nov. 2012 06:30;0,19;0,48;0,36;0,24
Di., 27.Nov. 2012 06:45;0,16;0,47;0,33;0,22
Di., 27.Nov. 2012 07:00;0,22;0,46;0,35;0,25
Di., 27.Nov. 2012 07:15;0,16;0,45;0,32;0,22
Di., 27.Nov. 2012 07:30;0,15;0,45;0,32;0,21
Di., 27.Nov. 2012 07:45;0,26;0,49;0,38;0,28
Di., 27.Nov. 2012 08:00;0,25;0,48;0,38;0,27
Di., 27.Nov. 2012 08:15;0,23;0,47;0,36;0,26
Di., 27.Nov. 2012 08:30;0,23;0,45;0,36;0,25
Di., 27.Nov. 2012 08:45;0,27;0,46;0,38;0,27
Di., 27.Nov. 2012 09:00;0,25;0,49;0,39;0,27
Di., 27.Nov. 2012 09:15;0,25;0,47;0,37;0,27
Di., 27.Nov. 2012 09:30;0,23;0,48;0,37;0,26
Di., 27.Nov. 2012 09:45;0,23;0,48;0,37;0,26
Di., 27.Nov. 2012 10:00;0,32;0,48;0,42;0,3
Di., 27.Nov. 2012 10:15;0,27;0,45;0,37;0,27
Di., 27.Nov. 2012 10:30;0,25;0,46;0,38;0,26
Di., 27.Nov. 2012 10:45;0,22;0,45;0,36;0,25
Di., 27.Nov. 2012 11:00;0,23;0,49;0,37;0,26
Di., 27.Nov. 2012 11:15;0,23;0,48;0,36;0,26
Di., 27.Nov. 2012 11:30;0,27;0,47;0,38;0,28
Di., 27.Nov. 2012 11:45;0,25;0,45;0,36;0,26
Di., 27.Nov. 2012 12:00;0,23;0,54;0,38;0,28
Di., 27.Nov. 2012 12:15;0,23;0,47;0,36;0,26
Di., 27.Nov. 2012 12:30;0,24;0,47;0,38;0,26
Di., 27.Nov. 2012 12:45;0,27;0,49;0,41;0,28
Di., 27.Nov. 2012 13:00;0,25;0,48;0,39;0,27
Di., 27.Nov. 2012 13:15;0,23;0,46;0,36;0,25
Di., 27.Nov. 2012 13:30;0,23;0,45;0,35;0,25
Di., 27.Nov. 2012 13:45;0,23;0,45;0,35;0,25
Di., 27.Nov. 2012 14:00;0,26;0,49;0,39;0,28
Di., 27.Nov. 2012 14:15;0,26;0,54;0,41;0,29
Di., 27.Nov. 2012 14:30;0,24;0,48;0,37;0,26
Di., 27.Nov. 2012 14:45;0,23;0,48;0,36;0,26
Di., 27.Nov. 2012 15:00;0,25;0,46;0,36;0,26
Di., 27.Nov. 2012 15:15;0,23;0,45;0,35;0,25
Di., 27.Nov. 2012 15:30;0,29;0,46;0,39;0,28
Di., 27.Nov. 2012 15:45;0,25;0,47;0,38;0,27
Di., 27.Nov. 2012 16:00;0,23;0,49;0,37;0,26
Di., 27.Nov. 2012 16:15;0,22;0,48;0,36;0,25
Di., 27.Nov. 2012 16:30;0,23;0,46;0,37;0,25
Di., 27.Nov. 2012 16:45;0,33;0,47;0,41;0,31
Di., 27.Nov. 2012 17:00;0,24;0,46;0,37;0,26
Di., 27.Nov. 2012 17:15;0,23;0,45;0,36;0,25
Di., 27.Nov. 2012 17:30;0,25;0,49;0,39;0,27
Di., 27.Nov. 2012 17:45;0,29;0,56;0,45;0,31
Di., 27.Nov. 2012 18:00;0,27;0,47;0,39;0,28
Di., 27.Nov. 2012 18:15;0,26;0,46;0,37;0,27
Di., 27.Nov. 2012 18:30;0,23;0,45;0,36;0,25
Di., 27.Nov. 2012 18:45;0,23;0,48;0,37;0,26
Di., 27.Nov. 2012 19:00;0,22;0,5;0,38;0,26
Di., 27.Nov. 2012 19:15;0,24;0,48;0,37;0,26
Di., 27.Nov. 2012 19:30;0,29;0,49;0,41;0,29
Di., 27.Nov. 2012 19:45;0,23;0,46;0,36;0,25
Di., 27.Nov. 2012 20:00;0,23;0,46;0,37;0,25
Di., 27.Nov. 2012 20:15;0,24;0,45;0,37;0,26
Di., 27.Nov. 2012 20:30;0,23;0,45;0,35;0,25
Di., 27.Nov. 2012 20:45;0,3;0,48;0,39;0,29
Di., 27.Nov. 2012 21:00;0,23;0,5;0,39;0,27
Di., 27.Nov. 2012 21:15;0,22;0,48;0,36;0,25
Di., 27.Nov. 2012 21:30;0,23;0,46;0,37;0,25
Di., 27.Nov. 2012 21:45;0,24;0,46;0,37;0,26
Di., 27.Nov. 2012 22:00;0,26;0,46;0,38;0,27
Di., 27.Nov. 2012 22:15;0,32;0,46;0,39;0,3
Di., 27.Nov. 2012 22:30;0,24;0,48;0,38;0,26
Di., 27.Nov. 2012 22:45;0,24;0,48;0,37;0,26
Di., 27.Nov. 2012 23:00;0,23;0,47;0,37;0,26
Di., 27.Nov. 2012 23:15;0,25;0,47;0,37;0,27
Di., 27.Nov. 2012 23:30;0,29;0,47;0,41;0,29
Di., 27.Nov. 2012 23:45;0,23;0,56;0,41;0,28
Mi., 28.Nov. 2012 00:00;0,23;0,47;0,37;0,26
Mi., 28.Nov. 2012 00:15;0,23;0,49;0,37;0,26
Mi., 28.Nov. 2012 00:30;0,25;0,47;0,37;0,27
Mi., 28.Nov. 2012 00:45;0,26;0,46;0,38;0,27
Mi., 28.Nov. 2012 01:00;0,27;0,46;0,39;0,27
Mi., 28.Nov. 2012 01:15;0,23;0,47;0,37;0,26
Mi., 28.Nov. 2012 01:30;0,23;0,46;0,36;0,25
Mi., 28.Nov. 2012 01:45;0,25;0,48;0,38;0,27
Mi., 28.Nov. 2012 02:00;0,25;0,48;0,38;0,27
Mi., 28.Nov. 2012 02:15;0,26;0,48;0,38;0,27
Mi., 28.Nov. 2012 02:30;0,24;0,45;0,36;0,26
Mi., 28.Nov. 2012 02:45;0,23;0,46;0,35;0,25
Mi., 28.Nov. 2012 03:00;0,26;0,45;0,38;0,27
Mi., 28.Nov. 2012 03:15;0,25;0,5;0,39;0,28
Mi., 28.Nov. 2012 03:30;0,27;0,48;0,39;0,28
Mi., 28.Nov. 2012 03:45;0,26;0,48;0,39;0,27
Mi., 28.Nov. 2012 04:00;0,23;0,46;0,36;0,25
Mi., 28.Nov. 2012 04:15;0,24;0,45;0,35;0,26
Mi., 28.Nov. 2012 04:30;0,26;0,45;0,37;0,27
Mi., 28.Nov. 2012 04:45;0,26;0,5;0,39;0,28
Mi., 28.Nov. 2012 05:00;0,24;0,48;0,38;0,26
Mi., 28.Nov. 2012 05:15;0,23;0,58;0,41;0,29
Mi., 28.Nov. 2012 05:30;0,24;0,47;0,38;0,26
Mi., 28.Nov. 2012 05:45;0,25;0,45;0,37;0,26
Mi., 28.Nov. 2012 06:00;0,29;0,46;0,39;0,28
Mi., 28.Nov. 2012 06:15;0,24;0,48;0,37;0,26
Mi., 28.Nov. 2012 06:30;0,24;0,47;0,37;0,26
Mi., 28.Nov. 2012 06:45;0,23;0,48;0,37;0,26
Mi., 28.Nov. 2012 07:00;0,25;0,48;0,38;0,27
Mi., 28.Nov. 2012 07:15;0,29;0,46;0,39;0,28
Mi., 28.Nov. 2012 07:30;0,23;0,46;0,35;0,25
Mi., 28.Nov. 2012 07:45;0,23;0,45;0,35;0,25
Mi., 28.Nov. 2012 08:00;0,23;0,46;0,35;0,25
Mi., 28.Nov. 2012 08:15;0,24;0,49;0,38;0,27
Mi., 28.Nov. 2012 08:30;0,33;0,47;0,41;0,31
Mi., 28.Nov. 2012 08:45;0,24;0,49;0,39;0,27
Mi., 28.Nov. 2012 09:00;0,23;0,45;0,36;0,25
Mi., 28.Nov. 2012 09:15;0,26;0,46;0,38;0,27
Mi., 28.Nov. 2012 09:30;0,24;0,49;0,37;0,27
Mi., 28.Nov. 2012 09:45;0,25;0,49;0,38;0,27
Mi., 28.Nov. 2012 10:00;0,26;0,49;0,38;0,28
Mi., 28.Nov. 2012 10:15;0,23;0,48;0,36;0,26
Mi., 28.Nov. 2012 10:30;0,25;0,46;0,38;0,26
Mi., 28.Nov. 2012 10:45;0,53;0,47;0,5;0,41
Mi., 28.Nov. 2012 11:00;0,54;0,46;0,53;0,41
Mi., 28.Nov. 2012 11:15;0,56;0,47;0,54;0,42
Mi., 28.Nov. 2012 11:30;0,23;0,49;0,37;0,26
Mi., 28.Nov. 2012 11:45;0,23;0,48;0,37;0,26
Mi., 28.Nov. 2012 12:00;0,24;0,57;0,43;0,29
Mi., 28.Nov. 2012 12:15;0,25;0,46;0,37;0,26
Mi., 28.Nov. 2012 12:30;0,27;0,46;0,37;0,27
Mi., 28.Nov. 2012 12:45;0,23;0,46;0,37;0,25
Mi., 28.Nov. 2012 13:00;0,25;0,5;0,39;0,28
Mi., 28.Nov. 2012 13:15;0,27;0,49;0,41;0,28
Mi., 28.Nov. 2012 13:30;0,26;0,48;0,39;0,27
Mi., 28.Nov. 2012 13:45;0,32;0,47;0,42;0,3
Mi., 28.Nov. 2012 14:00;0,25;0,46;0,37;0,26
Mi., 28.Nov. 2012 14:15;0,24;0,49;0,38;0,27
Mi., 28.Nov. 2012 14:30;0,23;0,47;0,37;0,26
Mi., 28.Nov. 2012 14:45;0,29;0,49;0,39;0,29
Mi., 28.Nov. 2012 15:00;0,61;0,5;0,57;0,46
Mi., 28.Nov. 2012 15:15;0,46;0,48;0,48;0,37
Mi., 28.Nov. 2012 15:30;0,32;0,46;0,39;0,3
Mi., 28.Nov. 2012 15:45;0,5;0,46;0,48;0,39
Mi., 28.Nov. 2012 16:00;0,61;0,46;0,55;0,44
Mi., 28.Nov. 2012 16:15;0,5;0,48;0,53;0,39
Mi., 28.Nov. 2012 16:30;0,49;0,48;0,5;0,39
Mi., 28.Nov. 2012 16:45;0,53;0,49;0,54;0,41
Mi., 28.Nov. 2012 17:00;0,67;0,46;0,58;0,47
Mi., 28.Nov. 2012 17:15;0,66;0,49;0,6;0,48
Mi., 28.Nov. 2012 17:30;0,64;0,46;0,58;0,46
Mi., 28.Nov. 2012 17:45;0,62;0,46;0,55;0,45
Mi., 28.Nov. 2012 18:00;0,62;0,49;0,59;0,46
Mi., 28.Nov. 2012 18:15;0,66;0,49;0,61;0,48
Mi., 28.Nov. 2012 18:30;0,48;0,56;0,55;0,41
Mi., 28.Nov. 2012 18:45;0,25;0,46;0,36;0,26
Mi., 28.Nov. 2012 19:00;0,23;0,5;0,37;0,27
Mi., 28.Nov. 2012 19:15;0,22;0,46;0,36;0,25
Mi., 28.Nov. 2012 19:30;0,23;0,48;0,38;0,26
Mi., 28.Nov. 2012 19:45;0,27;0,48;0,38;0,28
Mi., 28.Nov. 2012 20:00;0,25;0,48;0,38;0,27
Mi., 28.Nov. 2012 20:15;0,22;0,48;0,37;0,25
Mi., 28.Nov. 2012 20:30;0,23;0,45;0,36;0,25
Mi., 28.Nov. 2012 20:45;0,18;0,46;0,33;0,23
Mi., 28.Nov. 2012 21:00;0,21;0,45;0,34;0,24
Mi., 28.Nov. 2012 21:15;0,18;0,48;0,34;0,23
Mi., 28.Nov. 2012 21:30;0,16;0,48;0,33;0,22
Mi., 28.Nov. 2012 21:45;0,15;0,48;0,34;0,22
Mi., 28.Nov. 2012 22:00;0,15;0,45;0,33;0,21
Mi., 28.Nov. 2012 22:15;0,18;0,48;0,34;0,23
Mi., 28.Nov. 2012 22:30;0,22;0,46;0,36;0,25
Mi., 28.Nov. 2012 22:45;0,19;0,46;0,34;0,23
Mi., 28.Nov. 2012 23:00;0,18;0,48;0,35;0,23
Mi., 28.Nov. 2012 23:15;0,16;0,48;0,34;0,22
Mi., 28.Nov. 2012 23:30;0,16;0,47;0,33;0,22
Mi., 28.Nov. 2012 23:45;0,22;0,46;0,35;0,25
Do., 29.Nov. 2012 00:00;0,16;0,48;0,35;0,22
Do., 29.Nov. 2012 00:15;0,15;0,49;0,34;0,22
Do., 29.Nov. 2012 00:30;0,16;0,48;0,33;0,22
Do., 29.Nov. 2012 00:45;0,16;0,48;0,34;0,22
Do., 29.Nov. 2012 01:00;0,19;0,56;0,37;0,26
Do., 29.Nov. 2012 01:15;0,21;0,46;0,35;0,24
Do., 29.Nov. 2012 01:30;0,19;0,46;0,35;0,23
Do., 29.Nov. 2012 01:45;0,16;0,45;0,32;0,22
Do., 29.Nov. 2012 02:00;0,16;0,47;0,33;0,22
Do., 29.Nov. 2012 02:15;0,25;0,48;0,38;0,27
Do., 29.Nov. 2012 02:30;0,21;0,48;0,37;0,25
Do., 29.Nov. 2012 02:45;0,16;0,48;0,33;0,22
Do., 29.Nov. 2012 03:00;0,19;0,48;0,35;0,24
Do., 29.Nov. 2012 03:15;0,16;0,45;0,33;0,22
Do., 29.Nov. 2012 03:30;0,19;0,46;0,34;0,23
Do., 29.Nov. 2012 03:45;0,22;0,47;0,36;0,25
Do., 29.Nov. 2012 04:00;0,15;0,48;0,33;0,22
Do., 29.Nov. 2012 04:15;0,16;0,48;0,33;0,22
Do., 29.Nov. 2012 04:30;0,15;0,46;0,32;0,21
Do., 29.Nov. 2012 04:45;0,19;0,49;0,36;0,24
Do., 29.Nov. 2012 05:00;0,2;0,45;0,33;0,24
Do., 29.Nov. 2012 05:15;0,2;0,47;0,35;0,24
Do., 29.Nov. 2012 05:30;0,15;0,5;0,35;0,23
Do., 29.Nov. 2012 05:45;0,16;0,49;0,35;0,23
Do., 29.Nov. 2012 06:00;0,18;0,47;0,34;0,23
Do., 29.Nov. 2012 06:15;0,18;0,45;0,33;0,23
Do., 29.Nov. 2012 06:30;0,2;0,46;0,34;0,24
Do., 29.Nov. 2012 06:45;0,16;0,45;0,33;0,22
Do., 29.Nov. 2012 07:00;0,16;0,56;0,36;0,25
Do., 29.Nov. 2012 07:15;0,18;0,48;0,35;0,23
Do., 29.Nov. 2012 07:30;0,2;0,48;0,36;0,24
Do., 29.Nov. 2012 07:45;0,27;0,46;0,38;0,27
Do., 29.Nov. 2012 08:00;0,26;0,45;0,38;0,27
Do., 29.Nov. 2012 08:15;0,23;0,46;0,36;0,25
Do., 29.Nov. 2012 08:30;0,24;0,58;0,43;0,29
Do., 29.Nov. 2012 08:45;0,25;0,64;0,46;0,32
Do., 29.Nov. 2012 09:00;0,27;0,67;0,49;0,34
Do., 29.Nov. 2012 09:15;0,62;0,92;0,79;0,59
Do., 29.Nov. 2012 09:30;0,8;0,96;0,89;0,69
Do., 29.Nov. 2012 09:45;1,06;1,2;1,18;0,89
Do., 29.Nov. 2012 10:00;1,07;1,51;1,31;0,99
Do., 29.Nov. 2012 10:15;1,05;1,92;1,58;1,1
Do., 29.Nov. 2012 10:30;1,19;2,03;1,71;1,2
Do., 29.Nov. 2012 10:45;1,31;2,29;1,82;1,34
Do., 29.Nov. 2012 11:00;1,74;2,37;2,11;1,58
Do., 29.Nov. 2012 11:15;1,8;2,5;2,18;1,65
Do., 29.Nov. 2012 11:30;1,59;2,49;2,14;1,54
Do., 29.Nov. 2012 11:45;1,63;2,5;2,08;1,57
Do., 29.Nov. 2012 12:00;1,63;2,3;1,97;1,51
Do., 29.Nov. 2012 12:15;1,45;2,1;1,8;1,36
Do., 29.Nov. 2012 12:30;1,23;2,1;1,72;1,25
Do., 29.Nov. 2012 12:45;1,19;2,01;1,62;1,2
Do., 29.Nov. 2012 13:00;1,29;2,12;1,73;1,28
Do., 29.Nov. 2012 13:15;1,2;2,09;1,68;1,23
Do., 29.Nov. 2012 13:30;1,39;2,3;1,92;1,39
Do., 29.Nov. 2012 13:45;1,51;2,09;1,81;1,38
Do., 29.Nov. 2012 14:00;1,54;1,98;1,86;1,36
Do., 29.Nov. 2012 14:15;1,63;1,97;1,89;1,41
Do., 29.Nov. 2012 14:30;1,24;2,14;1,7;1,26
Do., 29.Nov. 2012 14:45;1,33;1,97;1,73;1,26
Do., 29.Nov. 2012 15:00;1,23;2,06;1,7;1,23
Do., 29.Nov. 2012 15:15;1,33;2,03;1,72;1,27
Do., 29.Nov. 2012 15:30;1,24;2,21;1,74;1,28
Do., 29.Nov. 2012 15:45;1,25;2,03;1,73;1,23
Do., 29.Nov. 2012 16:00;1,28;1,97;1,64;1,23
Do., 29.Nov. 2012 16:15;1,29;1,92;1,63;1,22
Do., 29.Nov. 2012 16:30;1,27;1,89;1,63;1,2
Do., 29.Nov. 2012 16:45;1,24;1,85;1,58;1,18
Do., 29.Nov. 2012 17:00;1,26;1,92;1,6;1,21
Do., 29.Nov. 2012 17:15;1,28;1,91;1,7;1,21
Do., 29.Nov. 2012 17:30;1,28;1,98;1,71;1,23
Do., 29.Nov. 2012 17:45;1,3;1,89;1,69;1,22
Do., 29.Nov. 2012 18:00;1,08;1,86;1,56;1,1
Do., 29.Nov. 2012 18:15;1,07;1,82;1,49;1,08
Do., 29.Nov. 2012 18:30;0,77;1,58;1,17;0,86
Do., 29.Nov. 2012 18:45;0,39;1,35;0,91;0,6
Do., 29.Nov. 2012 19:00;0,43;1,43;0,93;0,64
Do., 29.Nov. 2012 19:15;0,38;1,28;0,87;0,57
Do., 29.Nov. 2012 19:30;0,48;1,19;0,89;0,6
Do., 29.Nov. 2012 19:45;0,7;0,93;0,87;0,63
Do., 29.Nov. 2012 20:00;0,25;0,74;0,53;0,35
Do., 29.Nov. 2012 20:15;0,26;0,59;0,44;0,31
Do., 29.Nov. 2012 20:30;0,62;1,08;0,88;0,63
Do., 29.Nov. 2012 20:45;0,21;0,54;0,39;0,27
Do., 29.Nov. 2012 21:00;0,41;0,56;0,48;0,37
Do., 29.Nov. 2012 21:15;0,47;0,57;0,54;0,41
Do., 29.Nov. 2012 21:30;0,5;0,56;0,54;0,42
Do., 29.Nov. 2012 21:45;0,19;0,54;0,37;0,26
Do., 29.Nov. 2012 22:00;0,23;0,54;0,38;0,28
Do., 29.Nov. 2012 22:15;0,21;0,53;0,38;0,26
Do., 29.Nov. 2012 22:30;0,18;0,59;0,39;0,27
Do., 29.Nov. 2012 22:45;0,19;0,56;0,38;0,26
Do., 29.Nov. 2012 23:00;0,18;0,58;0,38;0,26
Do., 29.Nov. 2012 23:15;0,19;0,57;0,39;0,27
Do., 29.Nov. 2012 23:30;0,24;0,53;0,38;0,28
Do., 29.Nov. 2012 23:45;0,18;0,54;0,37;0,25
Fr., 30.Nov. 2012 00:00;0,18;0,53;0,35;0,25
Fr., 30.Nov. 2012 00:15;0,19;0,55;0,37;0,26
Fr., 30.Nov. 2012 00:30;0,21;0,57;0,42;0,28
Fr., 30.Nov. 2012 00:45;0,21;0,56;0,39;0,27
Fr., 30.Nov. 2012 01:00;0,23;0,55;0,39;0,28
Fr., 30.Nov. 2012 01:15;0,18;0,56;0,37;0,26
Fr., 30.Nov. 2012 01:30;0,21;0,53;0,38;0,26
Fr., 30.Nov. 2012 01:45;0,2;0,61;0,43;0,28
Fr., 30.Nov. 2012 02:00;0,2;0,55;0,37;0,27
Fr., 30.Nov. 2012 02:15;0,22;0,57;0,39;0,28
Fr., 30.Nov. 2012 02:30;0,19;0,56;0,38;0,26
Fr., 30.Nov. 2012 02:45;0,18;0,55;0,38;0,26
Fr., 30.Nov. 2012 03:00;0,21;0,54;0,39;0,27
Fr., 30.Nov. 2012 03:15;0,2;0,54;0,37;0,26
Fr., 30.Nov. 2012 03:30;0,21;0,54;0,38;0,27
Fr., 30.Nov. 2012 03:45;0,22;0,64;0,43;0,3
Fr., 30.Nov. 2012 04:00;0,18;0,56;0,37;0,26
Fr., 30.Nov. 2012 04:15;0,19;0,56;0,38;0,26
Fr., 30.Nov. 2012 04:30;0,21;0,53;0,38;0,26
Fr., 30.Nov. 2012 04:45;0,18;0,54;0,36;0,25
Fr., 30.Nov. 2012 05:00;0,21;0,53;0,38;0,26
Fr., 30.Nov. 2012 05:15;0,18;0,56;0,38;0,26
Fr., 30.Nov. 2012 05:30;0,19;0,57;0,38;0,27
Fr., 30.Nov. 2012 05:45;0,2;0,56;0,38;0,27
Fr., 30.Nov. 2012 06:00;0,18;0,54;0,37;0,25
Fr., 30.Nov. 2012 06:15;0,25;0,56;0,42;0,29
Fr., 30.Nov. 2012 06:30;0,18;0,53;0,37;0,25
Fr., 30.Nov. 2012 06:45;0,21;0,54;0,37;0,27
Fr., 30.Nov. 2012 07:00;0,26;0,56;0,44;0,3
Fr., 30.Nov. 2012 07:15;0,19;0,56;0,38;0,26
Fr., 30.Nov. 2012 07:30;0,18;0,56;0,37;0,26
Fr., 30.Nov. 2012 07:45;0,27;0,59;0,45;0,31
Fr., 30.Nov. 2012 08:00;0,25;0,54;0,41;0,29
Fr., 30.Nov. 2012 08:15;0,27;0,56;0,42;0,3
Fr., 30.Nov. 2012 08:30;0,25;0,65;0,47;0,32
Fr., 30.Nov. 2012 08:45;0,25;0,66;0,47;0,32
Fr., 30.Nov. 2012 09:00;0,6;0,68;0,67;0,5
Fr., 30.Nov. 2012 09:15;0,68;0,82;0,78;0,59
Fr., 30.Nov. 2012 09:30;0,83;1,18;1,04;0,77
Fr., 30.Nov. 2012 09:45;1,02;1,13;1,07;0,85
Fr., 30.Nov. 2012 10:00;1,25;1,31;1,29;1,02
Fr., 30.Nov. 2012 10:15;1,07;1,52;1,38;0,99
Fr., 30.Nov. 2012 10:30;1,07;1,96;1,61;1,12
Fr., 30.Nov. 2012 10:45;1,1;2,09;1,69;1,18
Fr., 30.Nov. 2012 11:00;1,45;2;1,76;1,33
Fr., 30.Nov. 2012 11:15;1,12;1,91;1,56;1,13
Fr., 30.Nov. 2012 11:30;1,12;1,87;1,58;1,12
Fr., 30.Nov. 2012 11:45;1,12;1,94;1,62;1,14
Fr., 30.Nov. 2012 12:00;1,3;1,95;1,69;1,24
Fr., 30.Nov. 2012 12:15;1,17;1,87;1,6;1,15
Fr., 30.Nov. 2012 12:30;1,31;1,98;1,66;1,25
Fr., 30.Nov. 2012 12:45;1,23;2,01;1,68;1,22
Fr., 30.Nov. 2012 13:00;1,27;1,89;1,64;1,2
Fr., 30.Nov. 2012 13:15;1,31;2,14;1,76;1,3
Fr., 30.Nov. 2012 13:30;1,16;1,98;1,59;1,17
Fr., 30.Nov. 2012 13:45;0,91;1,87;1,42;1,02
Fr., 30.Nov. 2012 14:00;1,16;1,81;1,56;1,12
Fr., 30.Nov. 2012 14:15;1,27;1,68;1,48;1,14
Fr., 30.Nov. 2012 14:30;1,35;1,89;1,71;1,24
Fr., 30.Nov. 2012 14:45;1,27;1,91;1,69;1,21
Fr., 30.Nov. 2012 15:00;1,14;1,74;1,5;1,09
Fr., 30.Nov. 2012 15:15;1,23;2,03;1,69;1,22
Fr., 30.Nov. 2012 15:30;1,23;1,75;1,56;1,14
Fr., 30.Nov. 2012 15:45;1,26;2,46;1,94;1,37
Fr., 30.Nov. 2012 16:00;1,16;2,33;1,85;1,28
Fr., 30.Nov. 2012 16:15;1,34;2,07;1,77;1,29
Fr., 30.Nov. 2012 16:30;1,27;2,06;1,72;1,25
Fr., 30.Nov. 2012 16:45;1,19;2,1;1,74;1,23
Fr., 30.Nov. 2012 17:00;1,27;2,3;1,88;1,33
Fr., 30.Nov. 2012 17:15;1,27;1,84;1,59;1,19
Fr., 30.Nov. 2012 17:30;1,23;1,8;1,58;1,16
Fr., 30.Nov. 2012 17:45;1,2;1,65;1,49;1,1
Fr., 30.Nov. 2012 18:00;1,12;1,59;1,38;1,04
Fr., 30.Nov. 2012 18:15;1,02;1,51;1,31;0,96
Fr., 30.Nov. 2012 18:30;0,85;1,53;1,26;0,88
Fr., 30.Nov. 2012 18:45;0,84;1,31;1,13;0,81
Fr., 30.Nov. 2012 19:00;0,81;1,08;0,97;0,73
Fr., 30.Nov. 2012 19:15;0,27;0,9;0,62;0,41
Fr., 30.Nov. 2012 19:30;0,3;0,7;0,54;0,36
Fr., 30.Nov. 2012 19:45;0,24;0,64;0,45;0,31
Fr., 30.Nov. 2012 20:00;0,7;0,6;0,67;0,53
Fr., 30.Nov. 2012 20:15;0,41;0,59;0,53;0,38
Fr., 30.Nov. 2012 20:30;0,33;0,72;0,55;0,38
Fr., 30.Nov. 2012 20:45;0,93;0,83;0,91;0,71
Fr., 30.Nov. 2012 21:00;0,53;0,67;0,62;0,47
Fr., 30.Nov. 2012 21:15;0,21;0,78;0,5;0,34
Fr., 30.Nov. 2012 21:30;0,67;0,92;0,84;0,61
Fr., 30.Nov. 2012 21:45;0,34;0,57;0,47;0,34
Fr., 30.Nov. 2012 22:00;0,19;0,56;0,38;0,26
Fr., 30.Nov. 2012 22:15;0,2;0,55;0,38;0,27
Fr., 30.Nov. 2012 22:30;0,18;0,58;0,39;0,26
Fr., 30.Nov. 2012 22:45;0,21;0,56;0,39;0,27
Fr., 30.Nov. 2012 23:00;0,2;0,59;0,41;0,28
Fr., 30.Nov. 2012 23:15;0,18;0,58;0,41;0,26
Fr., 30.Nov. 2012 23:30;0,25;0,61;0,44;0,31
Fr., 30.Nov. 2012 23:45;0,22;0,56;0,41;0,28
Sa., 01.Dez. 2012 00:00;0,2;0,55;0,38;0,27
Sa., 01.Dez. 2012 00:15;0,15;0,49;0,33;0,22
Sa., 01.Dez. 2012 00:30;0,16;0,48;0,32;0,22
Sa., 01.Dez. 2012 00:45;0,16;0,48;0,33;0,22
Sa., 01.Dez. 2012 01:00;0,18;0,55;0,37;0,26
Sa., 01.Dez. 2012 01:15;0,21;0,46;0,35;0,24
Sa., 01.Dez. 2012 01:30;0,18;0,46;0,35;0,23
Sa., 01.Dez. 2012 01:45;0,16;0,45;0,31;0,22
Sa., 01.Dez. 2012 02:00;0,16;0,47;0,32;0,22
Sa., 01.Dez. 2012 02:15;0,25;0,48;0,38;0,27
Sa., 01.Dez. 2012 02:30;0,21;0,48;0,37;0,25
Sa., 01.Dez. 2012 02:45;0,16;0,48;0,32;0,22
Sa., 01.Dez. 2012 03:00;0,18;0,48;0,35;0,23
Sa., 01.Dez. 2012 03:15;0,16;0,45;0,32;0,22
Sa., 01.Dez. 2012 03:30;0,18;0,46;0,33;0,23
Sa., 01.Dez. 2012 03:45;0,22;0,47;0,36;0,25
Sa., 01.Dez. 2012 04:00;0,15;0,48;0,32;0,22
Sa., 01.Dez. 2012 04:15;0,16;0,48;0,32;0,22
Sa., 01.Dez. 2012 04:30;0,15;0,46;0,31;0,21
Sa., 01.Dez. 2012 04:45;0,18;0,49;0,36;0,24
Sa., 01.Dez. 2012 05:00;0,2;0,45;0,32;0,24
Sa., 01.Dez. 2012 05:15;0,2;0,47;0,35;0,24
Sa., 01.Dez. 2012 05:30;0,15;0,51;0,35;0,23
Sa., 01.Dez. 2012 05:45;0,16;0,49;0,35;0,23
Sa., 01.Dez. 2012 06:00;0,17;0,47;0,33;0,23
Sa., 01.Dez. 2012 06:15;0,17;0,45;0,32;0,22
Sa., 01.Dez. 2012 06:30;0,2;0,46;0,33;0,24
Sa., 01.Dez. 2012 06:45;0,16;0,45;0,32;0,22
