Zeitstempel;"Verbrauch Gebaeude 1 Etage 0 Strom
Verbrauchswert (kWh)";"Verbrauch Gebaeude 1 Etage 0 Strom
 Werttyp";"Verbrauch Gebaeude 1 Etage 1 Strom
Verbrauchswert (kWh)";"Verbrauch Gebaeude 1 Etage 1 Strom
 Werttyp";"Verbrauch Gebaeude 1 Etage 2  Strom
Verbrauchswert (Wh)";"Verbrauch Gebaeude 1 Etage 2  Strom
 Werttyp";"Verbrauch Gebaeude 1 Etage 2 Strom (Mieter)
Verbrauchswert (kWh)";"Verbrauch Gebaeude 1 Etage 2 Strom (Mieter)
 Werttyp";
Fr., 18.Apr. 2014 19:15;0,18;;0,46;;2600;;2,48;;
Fr., 18.Apr. 2014 19:30;0,17;;0,4;;2610;;2,48;;
Fr., 18.Apr. 2014 19:45;0,2;;0,4;;2600;;2,5;;
Fr., 18.Apr. 2014 20:00;0,16;;0,39;;2600;;2,49;;
Fr., 18.Apr. 2014 20:15;0,15;;0,4;;2610;;2,49;;
Fr., 18.Apr. 2014 20:30;0,2;;0,43;;2620;;2,49;;
Fr., 18.Apr. 2014 20:45;0,18;;0,49;;2600;;2,5;;
Fr., 18.Apr. 2014 21:00;0,17;;0,45;;2600;;2,48;;
Fr., 18.Apr. 2014 21:15;0,15;;0,4;;2600;;2,49;;
Fr., 18.Apr. 2014 21:30;0,15;;0,39;;2660;;2,49;;
Fr., 18.Apr. 2014 21:45;0,17;;0,4;;2610;;2,49;;
Fr., 18.Apr. 2014 22:00;0,21;;0,41;;2650;;2,48;;
Fr., 18.Apr. 2014 22:15;0,17;;0,43;;2590;;2,51;;
Fr., 18.Apr. 2014 22:30;0,16;;0,42;;2590;;2,49;;
Fr., 18.Apr. 2014 22:45;0,15;;0,43;;2590;;2,48;;
Fr., 18.Apr. 2014 23:00;0,16;;0,4;;2670;;2,49;;
Fr., 18.Apr. 2014 23:15;0,17;;0,39;;2620;;2,49;;
Fr., 18.Apr. 2014 23:30;0,22;;0,41;;2620;;2,48;;
Fr., 18.Apr. 2014 23:45;0,15;;0,42;;2600;;2,48;;
Sa., 19.Apr. 2014 00:00;0,16;;0,42;;2590;;2,51;;
Sa., 19.Apr. 2014 00:15;0,15;;0,42;;2660;;2,49;;
Sa., 19.Apr. 2014 00:30;0,18;;0,39;;2650;;2,5;;
Sa., 19.Apr. 2014 00:45;0,22;;0,4;;2630;;2,49;;
Sa., 19.Apr. 2014 01:00;0,18;;0,39;;2670;;2,48;;
Sa., 19.Apr. 2014 01:15;0,17;;0,42;;2610;;2,5;;
Sa., 19.Apr. 2014 01:30;0,15;;0,42;;2610;;2,48;;
Sa., 19.Apr. 2014 01:45;0,22;;0,46;;2620;;2,49;;
Sa., 19.Apr. 2014 02:00;0,21;;0,4;;2580;;2,51;;
Sa., 19.Apr. 2014 02:15;0,16;;0,4;;2600;;2,49;;
Sa., 19.Apr. 2014 02:30;0,16;;0,43;;2610;;2,48;;
Sa., 19.Apr. 2014 02:45;0,17;;0,4;;2610;;2,5;;
Sa., 19.Apr. 2014 03:00;0,16;;0,43;;2620;;2,49;;
Sa., 19.Apr. 2014 03:15;0,22;;0,42;;2600;;2,52;;
Sa., 19.Apr. 2014 03:30;0,16;;0,47;;2570;;2,49;;
Sa., 19.Apr. 2014 03:45;0,16;;0,4;;2630;;2,49;;
Sa., 19.Apr. 2014 04:00;0,16;;0,39;;2670;;2,49;;
Sa., 19.Apr. 2014 04:15;0,16;;0,4;;2650;;2,49;;
Sa., 19.Apr. 2014 04:30;0,18;;0,42;;2680;;2,5;;
Sa., 19.Apr. 2014 04:45;0,19;;0,42;;2620;;2,5;;
Sa., 19.Apr. 2014 05:00;0,16;;0,42;;2610;;2,49;;
Sa., 19.Apr. 2014 05:15;0,18;;0,4;;2620;;2,49;;
Sa., 19.Apr. 2014 05:30;0,15;;0,39;;2650;;2,49;;
Sa., 19.Apr. 2014 05:45;0,19;;0,4;;2620;;2,49;;
Sa., 19.Apr. 2014 06:00;0,19;;0,45;;2640;;2,49;;
Sa., 19.Apr. 2014 06:15;0,25;;0,42;;2610;;2,49;;
Sa., 19.Apr. 2014 06:30;0,23;;0,42;;2600;;2,51;;
Sa., 19.Apr. 2014 06:45;0,22;;0,44;;2610;;2,49;;
Sa., 19.Apr. 2014 07:00;0,24;;0,39;;2680;;2,49;;
Sa., 19.Apr. 2014 07:15;0,28;;0,4;;2630;;2,48;;
Sa., 19.Apr. 2014 07:30;0,22;;0,41;;2600;;2,49;;
Sa., 19.Apr. 2014 07:45;0,22;;0,42;;2600;;2,48;;
Sa., 19.Apr. 2014 08:00;0,22;;0,42;;2630;;2,49;;
Sa., 19.Apr. 2014 08:15;0,26;;0,41;;2620;;2,51;;
Sa., 19.Apr. 2014 08:30;0,23;;0,39;;2630;;2,48;;
Sa., 19.Apr. 2014 08:45;0,25;;0,4;;2600;;2,49;;
Sa., 19.Apr. 2014 09:00;0,22;;0,39;;2580;;2,48;;
Sa., 19.Apr. 2014 09:15;0,22;;0,49;;2590;;2,48;;
Sa., 19.Apr. 2014 09:30;0,23;;0,42;;2600;;2,48;;
Sa., 19.Apr. 2014 09:45;0,23;;0,41;;2590;;2,48;;
Sa., 19.Apr. 2014 10:00;0,25;;0,4;;2620;;2,49;;
Sa., 19.Apr. 2014 10:15;0,22;;0,43;;2590;;2,51;;
Sa., 19.Apr. 2014 10:30;0,25;;0,4;;2630;;2,48;;
Sa., 19.Apr. 2014 10:45;0,22;;0,41;;2590;;2,48;;
Sa., 19.Apr. 2014 11:00;0,24;;0,42;;2600;;2,49;;
Sa., 19.Apr. 2014 11:15;0,25;;0,42;;2610;;2,48;;
Sa., 19.Apr. 2014 11:30;0,25;;0,43;;2600;;2,48;;
Sa., 19.Apr. 2014 11:45;0,22;;0,4;;2630;;2,49;;
Sa., 19.Apr. 2014 12:00;0,22;;0,39;;2600;;2,47;;
Sa., 19.Apr. 2014 12:15;0,18;;0,4;;2590;;2,48;;
Sa., 19.Apr. 2014 12:30;0,16;;0,43;;2590;;2,48;;
Sa., 19.Apr. 2014 12:45;0,18;;0,42;;2590;;2,49;;
Sa., 19.Apr. 2014 13:00;0,16;;0,4;;2610;;2,48;;
Sa., 19.Apr. 2014 13:15;0,15;;0,4;;2630;;2,48;;
Sa., 19.Apr. 2014 13:30;0,19;;0,39;;2610;;2,51;;
Sa., 19.Apr. 2014 13:45;0,17;;0,4;;2600;;2,48;;
Sa., 19.Apr. 2014 14:00;0,19;;0,42;;2610;;2,47;;
Sa., 19.Apr. 2014 14:15;0,15;;0,44;;2590;;2,49;;
Sa., 19.Apr. 2014 14:30;0,16;;0,42;;2570;;2,48;;
Sa., 19.Apr. 2014 14:45;0,17;;0,4;;2630;;2,49;;
Sa., 19.Apr. 2014 15:00;0,17;;0,47;;2600;;2,48;;
Sa., 19.Apr. 2014 15:15;0,15;;0,4;;2590;;2,49;;
Sa., 19.Apr. 2014 15:30;0,18;;0,41;;2580;;2,48;;
Sa., 19.Apr. 2014 15:45;0,17;;0,42;;2580;;2,48;;
Sa., 19.Apr. 2014 16:00;0,18;;0,42;;2950;;2,51;;
Sa., 19.Apr. 2014 16:15;0,2;;0,53;;2720;;2,48;;
Sa., 19.Apr. 2014 16:30;0,16;;0,76;;2600;;2,48;;
Sa., 19.Apr. 2014 16:45;0,5;;0,42;;2600;;2,48;;
Sa., 19.Apr. 2014 17:00;0,21;;0,4;;2610;;2,49;;
Sa., 19.Apr. 2014 17:15;0,18;;0,43;;2610;;2,48;;
Sa., 19.Apr. 2014 17:30;0,18;;0,42;;2660;;2,5;;
Sa., 19.Apr. 2014 17:45;0,15;;0,41;;2620;;2,48;;
Sa., 19.Apr. 2014 18:00;0,15;;0,4;;2620;;2,49;;
Sa., 19.Apr. 2014 18:15;0,2;;0,42;;2630;;2,49;;
Sa., 19.Apr. 2014 18:30;0,16;;0,39;;2620;;2,48;;
Sa., 19.Apr. 2014 18:45;0,17;;0,41;;2590;;2,49;;
Sa., 19.Apr. 2014 19:00;0,16;;0,42;;2580;;2,48;;
Sa., 19.Apr. 2014 19:15;0,14;;0,43;;2630;;2,51;;
Sa., 19.Apr. 2014 19:30;0,16;;0,41;;2640;;2,49;;
Sa., 19.Apr. 2014 19:45;0,14;;0,39;;2680;;2,48;;
